superClass,superClassLabel,class,classLabel
http://purl.obolibrary.org/BIO/BIO_0000692,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate classic Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0002014,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate classic Profile Breast Implant 350-7750MC
http://purl.obolibrary.org/BIO/BIO_0000633,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-High Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001031,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-High Profile xtra Breast Implant THPX325
http://purl.obolibrary.org/BIO/BIO_0000636,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001034,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant TMPX525
http://purl.obolibrary.org/BIO/BIO_0000717,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001328,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate Profile Breast Implant 354-4507
http://purl.obolibrary.org/BIO/BIO_0000730,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001105,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate Profile Breast Implant 350-7175BC
http://purl.obolibrary.org/BIO/BIO_0000701,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000715,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate-plus Profile Breast Implant 354-2251
http://purl.obolibrary.org/BIO/BIO_0000701,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate-plus Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001326,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate-plus Profile Breast Implant 354-3501
http://purl.obolibrary.org/BIO/BIO_0000636,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001344,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant TMPX115
http://purl.obolibrary.org/BIO/BIO_0000705,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-High Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000725,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-High Profile Breast Implant 350-1504BC
http://purl.obolibrary.org/BIO/BIO_0000640,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-High Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001347,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-High Profile xtra Breast Implant SHPX490
http://purl.obolibrary.org/BIO/BIO_0000692,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate classic Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0002020,MENTOR MemoryGel Silicone Gel-Filled Smooth Round-Moderate classic Profile Breast Implant 350-7405MC
http://purl.obolibrary.org/BIO/BIO_0000717,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate Profile Breast Implant,http://purl.obolibrary.org/BIO/BIO_0001092,MENTOR MemoryGel Silicone Gel-Filled SILTEX Round-Moderate Profile Breast Implant 354-1507
http://purl.obolibrary.org/BIO/BIO_0000636,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant,http://purl.obolibrary.org/BIO/BIO_0000638,MENTOR MemoryGel Silicone Gel-Filled Xtra SILTEX Round-Moderate-plus Profile xtra Breast Implant TMPX325
